GRB (Trig#),z,Bayes Ep [keV],Bayes Eiso [erg] (Sbol if no z),T_90,Energy Fluence (15-350 keV) [erg/cm^2]
GRB160410A (00682269),1.717,"495.30 (262.32,1385.46)","4.97e-05 (2.12e-05,1.07e-04)",2.360 +/-0.112,"1.9344e-06 (1.7596e-06,2.1237e-06)"
GRB160131A (00672236),0.972,"385.74 (243.03,1018.59)","8.27e-04 (5.78e-04,1.53e-03)",285.120 +/-10.458,"4.0765e-05 (3.9920e-05,4.1847e-05)"
GRB151112A (00663179),4.1,"49.66 (27.58,84.61)","1.39e-05 (1.13e-05,2.32e-05)",20.960 +/-1.770,"1.1624e-06 (1.0560e-06,1.2845e-06)"
GRB151111A (00663074),3.5,"54.88 (47.12,69.04)","3.05e-05 (2.60e-05,3.64e-05)",77.500 +/-5.104,"2.1308e-06 (2.1288e-06,2.5974e-06)"
GRB151029A (00662086),1.423,"30.12 (20.33,39.06)","3.58e+51 (3.02e+51,5.19e+51)",9.280 +/-0.798,"4.1843e-07 (3.8249e-07,4.6243e-07)"
GRB151027B (00661869),4.063,"52.20 (1.00,88.47)","1.84e-05 (1.77e-05,4.86e-05)",25.200 +/-1.406,"1.3157e-06 (1.1370e-06,1.5254e-06)"
GRB151027A (00661775),0.81,"245.96 (141.25,867.05)","2.31e-04 (1.74e-04,3.94e-04)",133.920 +/-2.166,"1.2541e-05 (1.2166e-05,1.2998e-05)"
GRB150910A (00655097),1.359,"271.83 (102.79,793.89)","2.50e-04 (1.59e-04,4.87e-04)",314.880 +/-7.089,"1.3838e-05 (1.2753e-05,1.5084e-05)"
GRB150821A (00652847),0.755,"366.93 (149.24,982.93)","1.03e+53 (6.19e+52,2.04e+53)",149.930 +/-17.440,"4.5086e-05 (4.1211e-05,4.9565e-05)"
GRB150818A (00652603),0.282,"74.08 (6.03,899.88)","1.44e+51 (1.33e+51,2.87e+51)",134.390 +/-5.810,"5.7781e-06 (5.5039e-06,6.1028e-06)"
GRB150424A (00638946),0.3,"186.82 (264.39,1097.92)","1.15e+51 (7.25e+50,2.76e+51)",0.400 +/-0.013,"3.3458e-06 (3.2033e-06,3.4990e-06)"
GRB150423A (00638808),1.394,"405.52 (162.13,1055.55)","1.50e+51 (6.09e+50,3.50e+51)",0.260 +/-0.015,"2.0174e-07 (1.6971e-07,2.3898e-07)"
GRB150413A (00637899),3.139,"77.88 (55.95,273.64)","1.46e+53 (1.18e+53,2.56e+53)",264.290 +/-11.962,"7.0477e-06 (6.5190e-06,7.6536e-06)"
GRB150403A (00637044),2.06,"233.96 (177.28,447.60)","3.81e+53 (3.12e+53,5.62e+53)",38.280 +/-1.519,"2.7441e-05 (2.5875e-05,2.9246e-05)"
GRB150323A (00635887),0.593,"70.47 (56.90,115.70)","7.76e+51 (6.57e+51,1.03e+52)",150.400 +/-1.439,"6.8200e-06 (6.2516e-06,7.5811e-06)"
GRB150301B (00633180),1.5169,"149.18 (101.89,518.72)","1.98e+52 (1.59e+52,3.67e+52)",13.230 +/-0.592,"3.2120e-06 (3.0845e-06,3.3619e-06)"
GRB150206A (00630019),2.087,"173.33 (122.99,495.35)","4.03e-04 (3.35e-04,7.10e-04)",593.300 +/-3.856,"2.4411e-05 (2.2390e-05,2.6901e-05)"
GRB141225A (00622476),0.915,"300.42 (126.37,852.44)","1.53e+52 (9.61e+51,3.17e+52)",40.770 +/-2.576,"5.2375e-06 (4.7785e-06,5.7591e-06)"
GRB141220A (00621915),1.3195,"128.40 (96.98,343.47)","1.87e+52 (1.65e+52,3.61e+52)",8.010 +/-0.279,
GRB141121A (00619182),1.47,"60.65 (42.41,118.72)","7.33e-05 (5.97e-05,1.06e-04)",309.690 +/-5.862,"6.1545e-06 (5.6586e-06,6.7246e-06)"
GRB141109A (00618024),2.993,"134.99 (97.48,483.34)","1.60e-04 (1.28e-04,2.73e-04)",217.360 +/-11.941,"1.1364e-05 (1.0951e-05,1.1856e-05)"
GRB141026A (00616502),3.35,"12.25 (1.00,20.92)","4.18e-05 (3.18e-05,7.75e-05)",150.410 +/-3.196,"1.4828e-06 (1.3530e-06,1.6337e-06)"
